id,tender_title,project_type,source_name,province,city,town,event_time,purchasing_staff,bid_company,bid_amount,currency,bid_date,content,created_at,updated_at
1,安徽省公安厅关于皮艺沙发的网上超市采购项目成交公告,政府,政府采购,安徽省,合肥市,包河区,2023-10-13 00:00:00,安徽省公安厅,合肥翌荣电子科技有限公司,6080.00,人民币:元,2023-10-13,安徽省公安厅关于皮艺沙发的网上超市采购项目成交公告 项目:安徽省公安厅关于皮艺沙发的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
2,安徽芜湖三山经济开发区龙湖街道社区卫生服务中心关于硒鼓的网上超市采购项目成交公告,医院,企业采购,安徽省,芜湖市,弋江区,2023-10-13 00:00:00,安徽芜湖三山经济开发区龙湖街道社区卫生服务中心,三山区杰信电脑经营部,1700.00,人民币:元,2023-10-13,安徽芜湖三山经济开发区龙湖街道社区卫生服务中心关于硒鼓的网上超市采购项目成交公告 项目:安徽芜湖三山经济开发区龙湖街道社区卫生服务中心关于硒鼓的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
3,亳州市第三幼儿园关于游乐场/体育场馆设施的网上超市采购项目成交公告,学校,企业采购,安徽省,亳州市,"",2023-10-13 00:00:00,亳州市第三幼儿园,亳州市蓝钻商贸有限公司,9984.00,人民币:元,2023-10-13,亳州市第三幼儿园关于游乐场/体育场馆设施的网上超市采购项目成交公告 项目:亳州市第三幼儿园关于游乐场/体育场馆设施的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
4,合肥经济技术开发区莲花社区管理委员会（主管预算单位）关于其它茶叶的网上超市采购项目成交公告,政府,政府采购,安徽省,合肥市,经济技术开发区,2023-10-13 00:00:00,合肥经济技术开发区莲花社区管理委员会,安徽翱越商贸有限公司,400.00,人民币:元,2023-10-13,合肥经济技术开发区莲花社区管理委员会（主管预算单位）关于其它茶叶的网上超市采购项目成交公告 项目:合肥经济技术开发区莲花社区管理委员会（主管预算单位）关于其它茶叶的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
5,合肥八中教育集团铭传高级中学关于激光打印机的网上超市采购项目成交公告,学校,企业采购,安徽省,合肥市,肥西县,2023-10-13 00:00:00,合肥八中教育集团铭传高级中学,合肥坤朋信息科技有限公司,9995.00,人民币:元,2023-10-13,合肥八中教育集团铭传高级中学关于激光打印机的网上超市采购项目成交公告 项目:合肥八中教育集团铭传高级中学关于激光打印机的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
6,铜陵市义安区融媒体中心关于麦克风/话筒的网上超市采购项目成交公告,货物,企业采购,安徽省,铜陵市,义安区,2023-10-13 00:00:00,铜陵市义安区融媒体中心,安徽乐摄美科技有限公司,41036.00,人民币:元,2023-10-13,铜陵市义安区融媒体中心关于麦克风/话筒的网上超市采购项目成交公告 项目:铜陵市义安区融媒体中心关于麦克风/话筒的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
7,长丰县第一中学关于游乐场/体育场馆设施的网上超市采购项目成交公告,学校,企业采购,安徽省,合肥市,长丰县,2023-10-13 00:00:00,长丰县第一中学,安徽万向运动装备建设有限公司,25600.00,人民币:元,2023-10-13,长丰县第一中学关于游乐场/体育场馆设施的网上超市采购项目成交公告 项目:长丰县第一中学关于游乐场/体育场馆设施的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
8,合肥市蜀山区残疾人联合会关于政治类书籍的网上超市采购项目成交公告,货物,企业采购,安徽省,合肥市,蜀山区,2023-10-13 00:00:00,合肥市蜀山区残疾人联合会,安徽金通联合电子科技有限公司,91.12,人民币:元,2023-10-13,合肥市蜀山区残疾人联合会关于政治类书籍的网上超市采购项目成交公告 项目:合肥市蜀山区残疾人联合会关于政治类书籍的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
9,合肥市蜀山区疾病预防控制中心关于捆扎绳的网上超市采购项目成交公告,货物,企业采购,安徽省,合肥市,蜀山区,2023-10-13 00:00:00,合肥市蜀山区疾病预防控制中心,合肥尚逸堂图文广告有限公司,3462.00,人民币:元,2023-10-13,合肥市蜀山区疾病预防控制中心关于捆扎绳的网上超市采购项目成交公告 项目:合肥市蜀山区疾病预防控制中心关于捆扎绳的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
10,淮南市田家庵区人民政府办公室关于空调的网上超市采购项目成交公告,政府,政府采购,安徽省,淮南市,田家庵区,2023-10-13 00:00:00,淮南市田家庵区人民政府办公室,安徽泰博信息科技发展有限公司,2799.00,人民币:元,2023-10-13,淮南市田家庵区人民政府办公室关于空调的网上超市采购项目成交公告 项目:淮南市田家庵区人民政府办公室关于空调的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
